Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,525.0,451.79999999999995,528.8,0.9741525423728815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948305084745764
Regulatory,0.7444285587424797,0.15158719278129518,0.045579193548318964,0.37222222222222223,0.35139354033036274,0.34843635846409476,0.8139097744360902,-0.005852550663871359,0.003931279987618108,0.014268344127645882,0.9398496240601504,0.0037593984962406013,0.05639097744360902,444.5,479.3,448.7,0.9716101694915257,0.9806785333941879,0.8108096637583679,0.9185784199996031,0.8139097744360902,0.8892820787865279,0.0,2.0,2.0,4.0,2.0,2.0,7.0,11.0,0.8657635604243354
Outcome_Pred_Model,0.613463807492587,0.12871404357146418,0.1742150476417055,0.3500734214390602,0.35178142324648537,0.3508609908609908,0.7537593984962406,-0.17618798043326356,-0.17613372542950012,0.008336491095111698,0.8533834586466166,0.005639097744360902,0.14097744360902256,432.3,436.2,430.90000000000003,0.1453389830508468,0.1343374410467062,0.8894627477968061,0.7462333569375831,0.7537593984962406,0.576808486123225,0.16071034840926438,10.0,9.0,2.0,4.0,3.0,9.0,9.0,0.6577107769555435
Bank,0.6302159742630127,0.13134690164016152,0.1597917780277859,0.3586261350177655,0.3649221396000076,0.3616702628392465,0.7518796992481203,-0.20614954577218725,-0.20346695557963168,0.012746318950992652,0.8402255639097744,0.0,0.15977443609022557,433.5,427.79999999999995,430.4,0.0,0.0,0.8309908741611454,0.7682786264541536,0.7518796992481203,0.611844525693818,0.14221147299640124,11.0,11.0,3.0,3.0,4.0,8.0,10.0,0.6206057798223079
Compromise Programming,0.36362859397719877,0.079253993220001,0.006956390764578858,0.2889948693567877,0.2977792013666453,0.2431559691402211,0.5131578947368421,-0.1760132774283718,-0.19733787339421144,-0.024688527096231705,0.5939849624060151,0.40037593984962405,0.005639097744360902,410.1,453.19999999999993,415.1,0.14618644067796582,0.03012323140118678,0.672643812003618,0.41745889497365757,0.5131578947368421,0.9831020019301948,0.5082244511418692,9.0,10.0,7.0,5.0,5.0,4.0,8.0,0.45252098742578517
Nash Social Welfare,0.0878746876367005,0.02024959494491251,0.006956390764578858,0.2920432884461661,0.32778133674994664,0.14514844237766153,0.2349624060150376,0.12526205450733752,0.11756694010215135,-0.02384615384615385,0.26127819548872183,0.7330827067669173,0.005639097744360902,379.90000000000003,406.4,388.40000000000003,0.3923728813559322,0.42218165221360127,0.6838132144933153,0.05457633364102974,0.2349624060150376,0.9831020019301948,0.9227986454287141,5.0,5.0,5.0,8.0,8.0,4.0,4.0,0.3201374483040705
Proportional Fairness,0.0878746876367005,0.02024959494491251,0.006956390764578858,0.2920432884461661,0.32778133674994664,0.14514844237766153,0.2349624060150376,0.12526205450733752,0.11756694010215135,-0.02384615384615385,0.26127819548872183,0.7330827067669173,0.005639097744360902,379.90000000000003,406.4,388.40000000000003,0.3923728813559322,0.42218165221360127,0.6838132144933153,0.05457633364102974,0.2349624060150376,0.9831020019301948,0.9227986454287141,5.0,5.0,5.0,8.0,8.0,4.0,4.0,0.3201374483040705
Maximin,0.07756246660810587,0.022144006431028464,0.0,0.28363311646893735,0.3195601110399317,0.13430736665761114,0.21428571428571427,0.12325296995108317,0.10713511840272402,-0.038651554780587016,0.24436090225563908,0.7556390977443609,0.0,378.6,405.9,387.0,0.4021186440677964,0.4734520006085503,0.4875018026070277,0.041005809003515206,0.21428571428571427,1.0,0.9094882119955535,4.0,4.0,8.0,10.0,10.0,1.0,7.0,0.2718395368499536
Applicant,0.04640221472428242,0.01721791340545391,0.0,0.27431679606965825,0.2896647448216955,0.09397114578925973,0.13909774436090225,0.04350104821802936,0.02652840117628852,-0.06622023809523814,0.15977443609022557,0.8402255639097744,0.0,370.6,394.79999999999995,377.70000000000005,0.7889830508474576,0.8696181347938536,0.121956339210747,0.0,0.13909774436090225,1.0,0.9440997173538217,3.0,3.0,10.0,11.0,11.0,1.0,2.0,0.23782697575600184
Kalai-Smorodinsky,0.09785343902389873,0.019006095767485916,0.41166952060488027,0.35637561222766423,0.3949053538654492,0.2478927368222412,0.325187969924812,0.15723270440251574,0.13335396997368826,-0.05959595959595965,0.29135338345864664,0.34962406015037595,0.35902255639097747,375.7,278.2,372.8,0.23728813559322015,0.34459151072569627,0.20979060122636906,0.06770802381486427,0.325187969924812,0.0,0.9315356664754255,7.0,7.0,9.0,7.0,7.0,10.0,3.0,0.2330325400968155
Nash Bargaining,0.10100765665854626,0.020252419113614837,0.41166952060488027,0.3555334706673243,0.3971475063318169,0.2504350867987231,0.3308270676691729,0.17103424178895876,0.13870917814579786,-0.07541793313069911,0.29887218045112784,0.34210526315789475,0.35902255639097747,376.29999999999995,279.1,373.6,0.17033898305084738,0.3182717176327402,0.0,0.07185886464773386,0.3308270676691729,0.0,0.9227788023746619,8.0,8.0,11.0,6.0,6.0,10.0,6.0,0.18077039660738542
